division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
57,Livaj,Delejon,,SWE,Pistol Caliber Carbine,17.62,32.05,17.15,-19.39,8,28.75
58,Dick,Qvarnström,tanker,SWE,Pistol Caliber Carbine,17.29,27.21,11.79,-8.15,16,28.2
59,Hänry,Bengtsson,hanry1536,SWE,Pistol Caliber Carbine,17.27,28.74,13.63,-12.15,11,28.17
60,Torbjörn,Bergqvist,unique,SWE,Pistol Caliber Carbine,17.15,27.56,12.36,-9.52,14,27.98
61,Pär,Hylander,hylander,SWE,Pistol Caliber Carbine,17.11,37.14,23.79,-34.23,3,27.92
62,Sofia,Dohmen,sofia,SWE,Pistol Caliber Carbine,17.03,29.13,14.38,-14.01,10,27.78
63,Johan,Hansen,hansen,SWE,Pistol Caliber Carbine,16.79,37.18,24.24,-35.53,3,27.38
64,Joakim,Stralje,frolomp,SWE,Pistol Caliber Carbine,16.48,29.07,14.96,-15.81,12,26.88
65,Anton,Molin,,SWE,Pistol Caliber Carbine,16.38,31.64,18.14,-22.77,7,26.71
66,Niklas,Vik,mrvik,SWE,Pistol Caliber Carbine,16.28,38.0,25.8,-39.41,2,26.56
67,Erik,Bjalkvall,3gunner,SWE,Pistol Caliber Carbine,16.13,34.08,21.33,-29.92,6,26.31
68,Bengt,Dahl,,SWE,Pistol Caliber Carbine,15.44,27.67,14.54,-15.94,10,25.18
69,Peter,Freed,freed,SWE,Pistol Caliber Carbine,15.07,24.86,11.63,-10.03,15,24.59
70,Björn,Boström,,SWE,Pistol Caliber Carbine,14.97,35.68,24.61,-38.15,3,24.41
71,Johan,G,johang,SWE,Pistol Caliber Carbine,14.56,36.69,26.29,-42.19,2,23.75
72,Marcus,Hahn,sucram,SWE,Pistol Caliber Carbine,14.51,27.0,14.85,-17.54,12,23.67
73,Jon,Hagstad,hagge,SWE,Pistol Caliber Carbine,14.47,31.24,19.93,-28.55,6,23.6
74,Pia,Nordquist,,SWE,Pistol Caliber Carbine,14.34,33.02,22.19,-33.56,4,23.39
75,Claes,Lindblom,kocken,SWE,Pistol Caliber Carbine,14.21,27.15,15.38,-18.97,13,23.19
76,Thomas,Bergefall,,SWE,Pistol Caliber Carbine,14.14,26.39,14.55,-17.27,14,23.07
77,Linus,W,dirren,SWE,Pistol Caliber Carbine,14.08,28.34,16.94,-22.5,10,22.96
78,Anton,Wallin,,SWE,Pistol Caliber Carbine,14.06,27.91,16.45,-21.45,10,22.94
79,Mikael,Martinsson,,SWE,Pistol Caliber Carbine,14.01,25.13,13.21,-14.49,13,22.86
80,Maria,Bohlin,,SWE,Pistol Caliber Carbine,13.87,26.88,15.45,-19.47,13,22.63
81,Peter,Stavling,peter997s,SWE,Pistol Caliber Carbine,13.68,26.19,14.86,-18.4,14,22.32
82,Alexander,Bäckman,alxbeckman,SWE,Pistol Caliber Carbine,13.44,29.39,18.95,-27.47,6,21.92
83,Fredrik,Poller,poller,SWE,Pistol Caliber Carbine,13.31,37.56,28.82,-48.89,1,21.71
84,Håkan,Nilsson,,SWE,Pistol Caliber Carbine,13.31,26.37,15.52,-20.19,10,21.71
85,Karl,Kempe,karl,SWE,Pistol Caliber Carbine,13.11,30.35,20.49,-31.1,5,21.39
86,Thomas,Hjelm,ipscnooben,SWE,Pistol Caliber Carbine,13.01,27.67,17.42,-24.57,7,21.23
87,Carl,Danielson,kexet,SWE,Pistol Caliber Carbine,12.85,31.04,21.6,-33.78,4,20.97
88,Bengt,Siverling,svingaling,SWE,Pistol Caliber Carbine,12.78,26.21,15.96,-21.66,11,20.85
89,Tobias,Åström,mercs,SWE,Pistol Caliber Carbine,12.74,34.28,25.6,-42.51,2,20.78
90,Mattias,T,underlord,SWE,Pistol Caliber Carbine,12.62,29.01,19.47,-29.41,6,20.58
91,Gustav,Steneholm,gstene,SWE,Pistol Caliber Carbine,12.45,28.4,18.96,-28.47,5,20.31
92,Christoffer,Glinge,,SWE,Pistol Caliber Carbine,12.37,31.99,23.32,-37.96,4,20.18
93,Daniel,Denwood,doubledelta,SWE,Pistol Caliber Carbine,12.24,29.51,20.52,-32.06,5,19.97
94,Jonas,Nilsson,,SWE,Pistol Caliber Carbine,12.19,24.29,14.38,-18.85,14,19.88
95,Sam,S’ung,gsam,SWE,Pistol Caliber Carbine,12.18,29.79,20.91,-32.96,4,19.87
96,Markus,Lindström,recoil,SWE,Pistol Caliber Carbine,12.17,36.03,28.36,-49.04,1,19.85
97,Nicola,Lo Presti,nixi,SWE,Pistol Caliber Carbine,12.1,31.59,23.15,-37.86,3,19.74
98,Daniel,Ying,,SWE,Pistol Caliber Carbine,11.91,27.18,18.15,-27.26,8,19.43
99,Robin,Bergefall,,SWE,Pistol Caliber Carbine,11.7,25.31,16.17,-23.2,10,19.08
100,Ji-Ung,Um,mrchampagne,SWE,Pistol Caliber Carbine,11.51,27.42,18.9,-29.29,8,18.77
101,Peter,Johansson,pewpew,SWE,Pistol Caliber Carbine,11.37,28.16,19.94,-31.67,5,18.55
102,Kristina,Olsson,,SWE,Pistol Caliber Carbine,11.37,24.33,15.39,-21.85,10,18.55
103,Alf,Wallblom,awall,SWE,Pistol Caliber Carbine,11.36,30.59,22.84,-37.94,4,18.54
104,Nicklas,Olausson,nickeviking,SWE,Pistol Caliber Carbine,11.03,29.24,21.64,-35.67,4,17.99
105,Björn,Mattsson,mattssons,SWE,Pistol Caliber Carbine,10.91,26.98,19.09,-30.29,6,17.8
106,Jakob,Tollstorp,tollstorp,SWE,Pistol Caliber Carbine,10.63,28.45,21.18,-35.09,5,17.33
107,Christian,Skoglund,skoglund,SWE,Pistol Caliber Carbine,10.39,31.06,24.56,-42.61,3,16.96
108,Peter,Lantz,lantzen,SWE,Pistol Caliber Carbine,10.38,28.16,21.13,-35.23,4,16.93
109,Tom,Sundlöf,,SWE,Pistol Caliber Carbine,10.38,30.19,23.54,-40.43,3,16.93
110,Christoffer,Hermansson,coffe,SWE,Pistol Caliber Carbine,10.26,25.9,18.58,-29.84,6,16.74
111,Martin,Hedlund,hedlund,SWE,Pistol Caliber Carbine,10.2,30.83,24.52,-42.73,3,16.63
112,Daniel,Svärd,,SWE,Pistol Caliber Carbine,10.18,26.05,18.86,-30.52,7,16.61
113,Mattias,Kneck,masse,SWE,Pistol Caliber Carbine,10.17,27.6,20.71,-34.54,6,16.58
114,Dan,Liljeström,liljestrom,SWE,Pistol Caliber Carbine,10.15,30.87,24.63,-43.01,3,16.55
115,Per-Olof,Emanuelsson,axel,SWE,Pistol Caliber Carbine,10.1,23.06,15.41,-23.16,12,16.47
116,Andreas,Hassel,andreas,SWE,Pistol Caliber Carbine,10.04,27.65,20.93,-35.14,5,16.38
117,Henrik,Grip,henkgriffin,SWE,Pistol Caliber Carbine,10.01,28.25,21.67,-36.76,4,16.33
118,Jovenz,Mayor,goodspeed,SWE,Pistol Caliber Carbine,9.98,27.73,21.09,-35.53,4,16.29
119,Stefan,Vogel,,SWE,Pistol Caliber Carbine,9.97,26.56,19.71,-32.57,5,16.26
120,Emil,Järnström,emijar,SWE,Pistol Caliber Carbine,9.94,26.6,19.8,-32.8,5,16.21
121,Mats,Karlsson,yaps,SWE,Pistol Caliber Carbine,9.79,29.35,23.25,-40.39,3,15.96
122,Håkan,Stors,hawk1,SWE,Pistol Caliber Carbine,9.65,27.62,21.35,-36.43,6,15.74
123,Stefan,Johannesson,st3f4n,SWE,Pistol Caliber Carbine,9.64,29.65,23.78,-41.69,4,15.72
124,Henrik,Kedfors,kedfors,SWE,Pistol Caliber Carbine,9.61,30.43,24.73,-43.78,3,15.67
125,Kim,Falkenback,,SWE,Pistol Caliber Carbine,9.49,26.16,19.81,-33.26,5,15.48
126,Lilly,Westberg,lilwest,SWE,Pistol Caliber Carbine,9.46,28.5,22.62,-39.35,4,15.44
127,Fredrik,Lindblad,fastman666,SWE,Pistol Caliber Carbine,9.44,28.18,22.26,-38.6,4,15.4
128,Emil,Olofsson,4176,SWE,Pistol Caliber Carbine,9.35,33.0,28.11,-51.31,1,15.25
129,Sasa,Petrovic,petrovic,SWE,Pistol Caliber Carbine,9.32,28.75,23.08,-40.49,3,15.21
130,Mathias,Holmgren,,SWE,Pistol Caliber Carbine,9.29,24.79,18.42,-30.46,6,15.16
131,Tobias,Ekenstråle,tek,SWE,Pistol Caliber Carbine,9.27,33.56,28.86,-53.02,1,15.12
132,Eric,Fredriksson,fredriksson,SWE,Pistol Caliber Carbine,9.19,30.65,25.5,-45.83,2,15.0
133,Niklas,Holmlund,,SWE,Pistol Caliber Carbine,9.16,27.26,21.51,-37.25,4,14.95
134,Jerry,Pettersson,laerkkan,SWE,Pistol Caliber Carbine,9.16,30.75,25.66,-46.22,2,14.94
135,Niklas,Halvordsson,,SWE,Pistol Caliber Carbine,9.13,29.34,24.02,-42.71,3,14.89
136,Sam,sund,gsam,SWE,Pistol Caliber Carbine,9.08,27.55,21.95,-38.3,5,14.8
137,Teddi,Sörensson,futump,SWE,Pistol Caliber Carbine,9.07,30.31,25.23,-45.38,2,14.8
138,Per,Celander,percel71,SWE,Pistol Caliber Carbine,9.07,24.63,18.49,-30.83,9,14.8
139,Andreas,Anderson,andreas,SWE,Pistol Caliber Carbine,9.06,29.77,24.61,-44.05,3,14.78
140,Sandra,Lindblom,sali,SWE,Pistol Caliber Carbine,9.0,24.89,18.88,-31.75,7,14.68
141,Sebastian,Fredriksson,sebfre,SWE,Pistol Caliber Carbine,8.98,27.07,21.5,-37.41,5,14.65
142,"Magnus ""Kotte""",Granqvist,kotte69,SWE,Pistol Caliber Carbine,8.87,27.01,21.55,-37.64,5,14.47
143,Conny,Chow,konta,SWE,Pistol Caliber Carbine,8.8,25.59,19.95,-34.27,6,14.36
144,Martin,Carlsson,martipscin,SWE,Pistol Caliber Carbine,8.77,26.21,20.73,-35.97,5,14.3
145,Kev,Norman,kevno,SWE,Pistol Caliber Carbine,8.66,24.56,18.89,-32.1,7,14.13
146,Mats,Lisstrand,,SWE,Pistol Caliber Carbine,8.66,26.16,20.79,-36.21,6,14.13
147,Tony,Johansson,alien555,SWE,Pistol Caliber Carbine,8.59,25.96,20.64,-35.95,6,14.01
148,Linus,H,linush,SWE,Pistol Caliber Carbine,8.52,26.46,21.32,-37.5,6,13.89
149,Axel,Rönquist,axelr,SWE,Pistol Caliber Carbine,8.48,28.38,23.64,-42.55,3,13.84
150,Tommy,G,soe,SWE,Pistol Caliber Carbine,8.43,27.32,22.44,-40.01,5,13.75
151,Rasmus,Olausson,mapuf,SWE,Pistol Caliber Carbine,8.39,30.45,26.21,-48.19,2,13.68
152,Tom,Sjöberg,,SWE,Pistol Caliber Carbine,8.36,29.17,24.73,-45.01,2,13.63
153,Mikael,Jansson,,SWE,Pistol Caliber Carbine,8.32,25.61,20.55,-36.03,5,13.57
154,Hans,Holmkvist,hasseh,SWE,Pistol Caliber Carbine,8.25,28.93,24.58,-44.8,3,13.45
155,Kristian,Nielsen,,SWE,Pistol Caliber Carbine,8.16,25.76,20.91,-36.98,4,13.32
156,Christian,Svartenstedt,svartenstedt,SWE,Pistol Caliber Carbine,8.04,25.92,21.24,-37.81,5,13.11
157,Jonas,Björk,whistler,SWE,Pistol Caliber Carbine,8.02,28.32,24.12,-44.03,4,13.08
158,Diana,Bergefall,,SWE,Pistol Caliber Carbine,8.01,22.25,16.93,-28.52,13,13.06
159,Saša,Petrović,petrovic,SWE,Pistol Caliber Carbine,8.0,29.35,25.37,-46.74,2,13.06
160,Erik,Lennmarken,,SWE,Pistol Caliber Carbine,7.97,28.33,24.19,-44.25,4,13.0
161,Gustav,Bergenstråle,mtnbeam,SWE,Pistol Caliber Carbine,7.86,28.93,25.04,-46.18,2,12.82
162,Jens,Vörman,,SWE,Pistol Caliber Carbine,7.85,31.31,27.88,-52.32,1,12.81
163,Toni,Celan,tonic,SWE,Pistol Caliber Carbine,7.82,26.28,21.94,-39.53,4,12.75
164,Hans,Jarosch,,SWE,Pistol Caliber Carbine,7.75,24.63,20.06,-35.55,7,12.64
165,Glenn,Vennberg,baraglenn,SWE,Pistol Caliber Carbine,7.69,24.27,19.71,-34.86,6,12.54
166,Dennis,Andersson,dempa,SWE,Pistol Caliber Carbine,7.68,26.3,22.13,-40.08,5,12.53
167,Joel,Arabäck,joel,SWE,Pistol Caliber Carbine,7.52,25.63,21.52,-38.93,4,12.26
168,Freddan,Lif,freddan,SWE,Pistol Caliber Carbine,7.51,25.27,21.11,-38.04,5,12.25
169,Pontus,Corax,poppowisch,SWE,Pistol Caliber Carbine,7.48,26.98,23.17,-42.54,4,12.2
170,Lars,Kilen,smen,SWE,Pistol Caliber Carbine,7.47,26.03,22.05,-40.11,3,12.19
171,Christian,S,svartenstedt,SWE,Pistol Caliber Carbine,7.47,25.6,21.53,-39.01,4,12.19
172,Eric,Stenberg,,SWE,Pistol Caliber Carbine,7.4,26.45,22.64,-41.47,3,12.07
173,Robert,Gunnarsson,rollo,SWE,Pistol Caliber Carbine,7.38,26.3,22.48,-41.16,4,12.03
174,Jonas,Renström,jonas,SWE,Pistol Caliber Carbine,7.36,28.65,25.3,-47.23,2,12.01
