division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
849,Anders,Rothman,rothman,SWE,Standard,3.47,24.91,25.48,-51.54,5,7.59
850,Daniel,Ljung Schwartz,,SWE,Standard,3.46,23.03,23.26,-46.75,5,7.57
851,Pierre,Lazzarin,theone1,SWE,Standard,3.43,24.79,25.38,-51.35,5,7.52
852,David,Alfredsson,,SWE,Standard,3.43,23.59,23.96,-48.29,3,7.5
853,Martin,Forsberg,martin,SWE,Standard,3.42,23.85,24.27,-48.96,4,7.49
854,Håkan,Myrsell,,SWE,Standard,3.42,24.52,25.07,-50.7,3,7.49
855,Ted,Torbenson,,SWE,Standard,3.41,24.62,25.21,-51.01,3,7.46
856,Pia,Skålberg,,SWE,Standard,3.4,22.21,22.35,-44.84,6,7.44
857,Tom,Silverklo,,SWE,Standard,3.4,25.42,26.17,-53.08,3,7.44
858,Ted,Nilsson,,SWE,Standard,3.4,23.47,23.85,-48.09,3,7.44
859,Patrik,Wahlberg,backbone,SWE,Standard,3.39,24.77,25.4,-51.43,3,7.43
860,Magnus,Sjögren,,SWE,Standard,3.39,23.31,23.67,-47.71,6,7.42
861,Kristian,Mattisson,kristian,SWE,Standard,3.36,23.88,24.38,-49.25,3,7.36
862,Kristian,Cosic,kricos,SWE,Standard,3.33,25.14,25.91,-52.6,2,7.3
863,Alexander,Lundberg,hardox,SWE,Standard,3.33,24.92,25.65,-52.03,3,7.3
864,Anders,Backström,andba836,SWE,Standard,3.33,24.15,24.73,-50.05,4,7.3
865,Andres,Suazo,afx,SWE,Standard,3.3,25.23,26.06,-52.94,4,7.23
866,Alex,Landin,,SWE,Standard,3.3,21.09,21.14,-42.33,7,7.22
867,Fredrik,Månsson,,SWE,Standard,3.29,25.55,26.45,-53.8,2,7.2
868,Carl,Engström,,SWE,Standard,3.29,24.02,24.64,-49.9,4,7.19
869,Sven,Ytterell,,SWE,Standard,3.28,25.34,26.21,-53.28,3,7.19
870,Henrik,Lundh,,SWE,Standard,3.28,23.76,24.32,-49.22,3,7.19
871,Olof,Larsson,,SWE,Standard,3.28,23.6,24.14,-48.83,4,7.19
872,Björn,Högberg,mrmike,SWE,Standard,3.27,24.61,25.36,-51.46,3,7.16
873,Mattias,Thaarup,,SWE,Standard,3.26,24.82,25.61,-52.01,3,7.14
874,Petter,Mozard,,SWE,Standard,3.24,22.91,23.37,-47.19,5,7.1
875,Karl,U Ericson,fapswe,SWE,Standard,3.24,24.84,25.67,-52.15,5,7.1
876,Marcus,Johansson,,SWE,Standard,3.24,19.3,19.08,-37.94,9,7.09
877,Michael,Stigstedt,se825,SWE,Standard,3.22,24.42,25.19,-51.16,5,7.04
878,Alexander,Sandgren,atheris,SWE,Standard,3.22,18.05,17.63,-34.83,14,7.04
879,Max,Andersson,maxan,SWE,Standard,3.21,23.77,24.43,-49.52,5,7.02
880,Mikael,Norberg,sportshooter,SWE,Standard,3.2,19.94,19.89,-39.73,9,7.01
881,Matthieu,Marchand,tokamatt,SWE,Standard,3.2,23.88,24.57,-49.84,4,7.01
882,John,Lindbom,,SWE,Standard,3.2,25.51,26.5,-54.01,2,7.01
883,Jörgen,Ömalm,sj1640,SWE,Standard,3.18,24.18,24.95,-50.67,6,6.96
884,Frank,Hammar,,SWE,Standard,3.18,25.2,26.17,-53.3,2,6.96
885,Fredrik,Poller,poller,SWE,Standard,3.18,25.23,26.21,-53.38,3,6.95
886,Mattias,Fallskog,,SWE,Standard,3.16,23.28,23.91,-48.43,4,6.93
887,David,Treiberg,dow,SWE,Standard,3.16,24.61,25.49,-51.85,2,6.91
888,Björn,Dahlberg,,SWE,Standard,3.15,25.06,26.03,-53.04,3,6.9
889,Magnus,Wiberg,oggy69,SWE,Standard,3.15,22.12,22.54,-45.49,7,6.89
890,Olle,Bergman,gorm,SWE,Standard,3.15,25.06,26.04,-53.05,2,6.89
891,Johan,Henningsson,jhenningsson,SWE,Standard,3.14,17.97,17.63,-34.91,11,6.87
892,Thorsten,Ekströmer,,SWE,Standard,3.14,22.12,22.56,-45.55,5,6.87
893,Ola,Erlandsson,geller,SWE,Standard,3.13,25.29,26.33,-53.71,3,6.85
894,Christian,Bellhammar,,SWE,Standard,3.13,25.16,26.18,-53.38,2,6.85
895,John JM,Prpic,,SWE,Standard,3.12,24.94,25.93,-52.84,7,6.83
896,Carl,Lindberg,,SWE,Standard,3.11,25.83,27.0,-55.16,2,6.81
897,Magnus,Pudas,,SWE,Standard,3.09,24.06,24.92,-50.7,3,6.76
898,Fredrik,Rössel,laxvik,SWE,Standard,3.09,23.06,23.73,-48.13,4,6.76
899,Bertil,Nilsson,,SWE,Standard,3.08,22.8,23.43,-47.5,9,6.74
900,Fredrik,Gustafsson,,SWE,Standard,3.08,23.92,24.77,-50.38,3,6.74
901,Björn,Gregnert,polarbear,SWE,Standard,3.07,24.8,25.82,-52.66,3,6.73
902,Magnus,Kumbrant,yggdrasil,SWE,Standard,3.07,24.3,25.22,-51.37,3,6.72
903,Magnus,Pårup,,SWE,Standard,3.06,25.0,26.08,-53.23,2,6.69
904,Fredrik,NotKnown,axiom,SWE,Standard,3.05,24.74,25.77,-52.56,2,6.68
905,Andreas,Lindahl,lindahl,SWE,Standard,3.04,22.77,23.44,-47.55,9,6.67
906,Mikael,Idh,,SWE,Standard,3.04,17.46,17.13,-33.93,15,6.66
907,Per-Ola,Johansson,perola,SWE,Standard,3.01,25.68,26.94,-55.13,2,6.59
908,Sixten,Ahlman,,SWE,Standard,3.01,22.73,23.43,-47.57,4,6.58
909,Fredrik,Rothén,rothen,SWE,Standard,3.0,25.46,26.69,-54.61,3,6.57
910,Alexander,NotKnown,nerd,SWE,Standard,3.0,25.55,26.8,-54.84,2,6.56
911,Peter,Berg,,SWE,Standard,2.99,24.48,25.54,-52.13,4,6.54
912,Ulf,Persson,puffe,SWE,Standard,2.99,22.25,22.89,-46.43,5,6.54
913,Nicolas,Hammarström,hammer1,SWE,Standard,2.98,24.31,25.34,-51.72,2,6.53
914,Jimmy,Wedin,,SWE,Standard,2.97,24.2,25.23,-51.5,3,6.49
915,Mattias,Tuvell,mattant,SWE,Standard,2.96,25.27,26.5,-54.25,2,6.48
916,Henrik,Sjöholm,,SWE,Standard,2.95,24.29,25.36,-51.78,3,6.46
917,Claus,Strömquist,seav8r,SWE,Standard,2.93,24.23,25.31,-51.7,3,6.42
918,Saleh,Kanani,,SWE,Standard,2.92,23.49,24.44,-49.83,4,6.4
919,Niklas,Alkevik,glocklas,SWE,Standard,2.92,24.27,25.37,-51.83,3,6.39
920,Tove,Stillfjord,stillfjord,SWE,Standard,2.91,24.39,25.53,-52.19,2,6.36
921,Erik,Barth,,SWE,Standard,2.9,24.56,25.74,-52.66,2,6.34
922,Martin,Klint,,SWE,Standard,2.88,24.06,25.16,-51.42,3,6.31
923,Marcus,Blomqvist,dynamitarden,SWE,Standard,2.87,26.12,27.63,-56.76,2,6.29
924,Mats,Jönsson,ninjamasse,SWE,Standard,2.87,25.06,26.37,-54.04,4,6.28
