division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
4219,Niclas,Wiström,,SWE,Production,-5.18,18.77,28.45,-66.6,2,-8.77
4220,Ludvig,Cullin Lindgren,grus,SWE,Production,-5.23,17.86,27.44,-64.46,2,-8.86
4221,Alexander,Lahovary,alex,SWE,Production,-5.24,24.97,35.89,-82.71,1,-8.87
4222,Mensur,Brajanovic,,SWE,Production,-5.26,18.67,28.44,-66.64,1,-8.91
4223,Sven,Bender,svb,SWE,Production,-5.3,15.74,25.0,-59.26,4,-8.97
4224,Niclas,Fagerberg,,SWE,Production,-5.31,17.18,26.73,-63.01,2,-9.0
4225,George,Frangias,frazze,SWE,Production,-5.34,18.62,28.48,-66.81,1,-9.05
4226,Fredrick,Lantz,,SWE,Production,-5.35,21.21,31.55,-73.45,1,-9.05
4227,Mikael,Isaksson,mikaelisaksson,SWE,Production,-5.36,18.37,28.19,-66.2,1,-9.07
4228,Leif,Madsen,mrfatandslow,SWE,Production,-5.41,20.29,30.54,-71.32,1,-9.16
4229,Frank,Backhouse,375ruger,SWE,Production,-5.42,18.32,28.2,-66.28,1,-9.17
4230,Stefan,Kristersson,stefan,SWE,Production,-5.43,16.31,25.84,-61.21,3,-9.2
4231,Maria,Viktorsson,,SWE,Production,-5.44,20.71,31.07,-72.49,1,-9.21
4232,Mikael,Bäfverfeldt,,SWE,Production,-5.46,20.85,31.26,-72.92,2,-9.24
4233,Bo,Ekman,,SWE,Production,-5.49,24.82,36.02,-83.24,1,-9.3
4234,Adela,Dzananovic,,SWE,Production,-5.5,18.39,28.38,-66.77,1,-9.31
4235,Fredrik,Broström,,SWE,Production,-5.52,15.08,24.48,-58.37,4,-9.35
4236,Toni,Kaic,kaic,SWE,Production,-5.54,18.35,28.38,-66.79,3,-9.37
4237,Mikael,Idh,majk,SWE,Production,-5.54,18.8,28.91,-67.94,2,-9.37
4238,Aki,Urhonen,,SWE,Production,-5.57,18.66,28.79,-67.72,1,-9.44
4239,Gabriel,Gherman,,SWE,Production,-5.58,18.49,28.6,-67.3,1,-9.44
4240,Christian,Leister,,SWE,Production,-5.59,18.51,28.64,-67.41,1,-9.47
4241,Daniel,Stigsson,,SWE,Production,-5.61,24.27,35.5,-82.22,1,-9.49
4242,Johannes,Nordh,,SWE,Production,-5.61,17.96,28.01,-66.06,1,-9.5
4243,Joakim,NotKnown,,SWE,Production,-5.62,18.6,28.78,-67.74,1,-9.51
4244,Tobias,Mossberg,,SWE,Production,-5.65,24.61,35.95,-83.24,1,-9.56
4245,Kenth,Petersson,domino,SWE,Production,-5.65,18.61,28.82,-67.85,1,-9.56
4246,Hans,Öjes,,SWE,Production,-5.65,24.64,35.99,-83.32,1,-9.56
4247,Niklas,Klys,,SWE,Production,-5.68,21.55,32.36,-75.53,2,-9.62
4248,Henrik,Ling,henrik,SWE,Production,-5.71,18.37,28.62,-67.48,1,-9.68
4249,Marcus,Kristiansson,,SWE,Production,-5.72,20.35,30.97,-72.56,1,-9.68
4250,Emma,Brolin,,SWE,Production,-5.73,18.01,28.21,-66.62,1,-9.71
4251,Mohammed,Alattar,,SWE,Production,-5.74,18.23,28.47,-67.19,1,-9.71
